t,delta_theta
27.640000,0.001073
27.680000,0.001122
27.720000,0.001170
27.760000,0.001220
27.800000,0.001270
27.840000,0.001321
27.880000,0.001373
27.920000,0.001426
27.960000,0.001480
28.000000,0.001536
28.040000,0.001592
28.080000,0.001650
28.120000,0.001710
28.160000,0.001771
28.200000,0.001833
28.240000,0.001898
28.280000,0.001964
28.320000,0.002032
28.360000,0.002101
28.400000,0.002173
28.440000,0.002247
28.480000,0.002322
28.520000,0.002400
28.560000,0.002480
28.600000,0.002562
28.640000,0.002647
28.680000,0.002734
28.720000,0.002823
28.760000,0.002915
28.800000,0.003010
28.840000,0.003107
28.880000,0.003206
28.920000,0.003309
28.960000,0.003414
29.000000,0.003522
29.040000,0.003632
29.080000,0.003746
29.120000,0.003862
29.160000,0.003982
29.200000,0.004105
29.240000,0.004230
29.280000,0.004359
29.320000,0.004491
29.360000,0.004627
29.400000,0.004765
29.440000,0.004907
29.480000,0.005052
29.520000,0.005201
29.560000,0.005353
29.600000,0.005509
29.640000,0.005669
29.680000,0.005832
29.720000,0.005999
29.760000,0.006169
29.800000,0.006344
29.840000,0.006523
29.880000,0.006705
29.920000,0.006892
29.960000,0.007083
30.000000,0.007279
30.040000,0.007479
30.080000,0.007683
30.120000,0.007892
30.160000,0.008107
30.200000,0.008326
30.240000,0.008550
30.280000,0.008779
30.320000,0.009014
30.360000,0.009254
30.400000,0.009501
30.440000,0.009753
30.480000,0.010011
30.520000,0.010276
30.560000,0.010548
30.600000,0.010827
30.640000,0.011113
30.680000,0.011406
30.720000,0.011707
30.760000,0.012016
30.800000,0.012334
30.840000,0.012661
30.880000,0.012996
30.920000,0.013342
30.960000,0.013697
31.000000,0.014062
31.040000,0.014439
31.080000,0.014826
31.120000,0.015226
31.160000,0.015637
31.200000,0.016062
31.240000,0.016499
31.280000,0.016951
31.320000,0.017417
31.360000,0.017898
31.400000,0.018395
31.440000,0.018908
31.480000,0.019438
31.520000,0.019986
31.560000,0.020552
31.600000,0.021137
31.640000,0.021743
31.680000,0.022369
31.720000,0.023016
31.760000,0.023686
31.800000,0.024378
31.840000,0.025095
31.880000,0.025836
31.920000,0.026603
31.960000,0.027397
32.000000,0.028218
32.040000,0.029067
32.080000,0.029945
32.120000,0.030853
32.160000,0.031792
32.200000,0.032763
32.240000,0.033767
32.280000,0.034804
32.320000,0.035875
32.360000,0.036981
32.400000,0.038123
32.440000,0.039302
32.480000,0.040517
32.520000,0.041771
32.560000,0.043062
32.600000,0.044393
32.640000,0.045762
32.680000,0.047171
32.720000,0.048620
32.760000,0.050108
32.800000,0.051636
32.840000,0.053204
32.880000,0.054810
32.920000,0.056456
32.960000,0.058139
33.000000,0.059860
33.040000,0.061617
33.080000,0.063410
33.120000,0.065236
33.160000,0.067094
33.200000,0.068983
33.240000,0.070899
33.280000,0.072842
33.320000,0.074808
33.360000,0.076795
33.400000,0.078799
33.440000,0.080818
33.480000,0.082847
33.520000,0.084884
33.560000,0.086923
33.600000,0.088960
33.640000,0.090992
33.680000,0.093013
33.720000,0.095018
33.760000,0.097003
33.800000,0.098961
33.840000,0.100888
33.880000,0.102778
33.920000,0.104625
33.960000,0.106424
34.000000,0.108168
34.040000,0.109853
34.080000,0.111472
34.120000,0.113019
34.160000,0.114490
34.200000,0.115878
34.240000,0.117179
34.280000,0.118386
34.320000,0.119496
34.360000,0.120504
34.400000,0.121405
34.440000,0.122195
34.480000,0.122870
34.520000,0.123428
34.560000,0.123864
34.600000,0.124176
34.640000,0.124363
34.680000,0.124422
34.720000,0.124351
34.760000,0.124149
34.800000,0.123816
34.840000,0.123352
34.880000,0.122756
34.920000,0.122030
34.960000,0.121173
35.000000,0.120187
35.040000,0.119074
35.080000,0.117836
35.120000,0.116475
35.160000,0.114994
35.200000,0.113395
35.240000,0.111682
35.280000,0.109857
35.320000,0.107926
35.360000,0.105891
35.400000,0.103757
35.440000,0.101528
35.480000,0.099208
35.520000,0.096803
35.560000,0.094316
35.600000,0.091753
35.640000,0.089118
35.680000,0.086417
35.720000,0.083655
35.760000,0.080836
35.800000,0.077966
35.840000,0.075049
35.880000,0.072092
35.920000,0.069099
35.960000,0.066076
36.000000,0.063026
36.040000,0.059956
36.080000,0.056870
36.120000,0.053772
36.160000,0.050668
36.200000,0.047563
36.240000,0.044460
36.280000,0.041363
36.320000,0.038278
36.360000,0.035208
36.400000,0.032156
36.440000,0.029128
36.480000,0.026125
36.520000,0.023152
36.560000,0.020211
36.600000,0.017306
