theta,omega
2.9455584948,-0.6491500216
2.3178128565,-1.2402063171
3.0980508349,-0.5654274368
3.0503865371,-0.7966351342
2.1950954294,-1.2858421146
2.9987011309,-0.6485685357
3.0397038149,-0.9116428581
2.5966700672,-0.9221089859
2.8004598230,-0.6524841662
2.6862327627,-0.8526006140
2.4533941185,-1.1018978582
3.0621740114,-0.8516007990
2.1951963718,-1.2362611956
3.0254945684,-0.6245606129
2.4566578079,-0.9116056517
3.0380372380,-0.8253863801
2.2145961460,-1.2217228990
3.0449799987,-0.6112758975
2.5138769858,-1.1177797007
2.8241423867,-0.9920197050
2.6397455218,-0.9278772681
2.5122857373,-0.8710205623
2.5450082817,-1.1079470059
3.0310766527,-0.8298854265
2.2561666380,-1.1909332715
3.0813843028,-0.5795231806
2.7798871519,-1.0137323273
2.5138700365,-1.0357638742
3.0428337983,-0.8106490958
2.1681408681,-1.2751346862
2.9792647190,-0.6597114155
2.7785672382,-1.0324210922
2.5898085477,-1.0912443389
3.0896540527,-0.8496474882
2.1774025769,-1.2897153449
2.9783438406,-0.6587943925
2.8115458209,-1.0165033661
2.7827550607,-0.8153038097
3.0659265862,-0.8507503525
2.1869983892,-1.2519685514
3.0034748340,-0.6404310766
2.8821309232,-0.9698881067
3.0408183437,-0.8182351751
2.1795257433,-1.2525705662
3.0064885387,-0.6404391704
2.5233671631,-1.1159234230
2.1911051673,-1.1019139352
3.0859090888,-0.5716485924
2.6485876527,-0.7706470843
2.8170026077,-0.7855292009
3.1027310719,-0.5334706250
2.8637139148,-0.9794103126
2.6034997976,-0.9584682055
2.8350884368,-0.6269420937
2.3850248386,-1.0879086391
3.0462282606,-0.8164381266
2.1673376487,-1.2677508696
2.9904432071,-0.6541667922
3.0834361311,-0.7723357985
2.6414282934,-1.0926134367
3.0577938316,-0.7996521050
2.1935902397,-1.2861495595
2.9977097822,-0.6489885680
2.4769028350,-0.8963650757
2.5876496874,-0.9760431926
3.0526403488,-0.9067518342
2.4894346229,-1.0049146079
3.0999854239,-0.7513921690
2.6986971470,-0.7319607801
3.0773223607,-0.8508858920
2.1564323941,-1.2778716465
2.9791289399,-0.6608462287
2.7182560017,-1.0539746800
2.8059243595,-1.0036543445
3.0476538105,-0.9113232919
2.5538637474,-0.9510534403
2.6358057836,-0.9356415667
3.1387954153,-0.8455646535
2.9618003956,-0.9532971786
3.1304538156,-0.5136555818
3.1043937510,-0.8493703407
2.2331812164,-1.2727448897
3.0310959516,-0.6213476080
2.7587191035,-1.0211302414
2.4359168080,-1.1281014780
3.0319769743,-0.8407753854
2.2828238748,-1.1664390101
3.1136329469,-0.5519991424
2.4523197820,-1.1068204455
3.0548388658,-0.8517116722
2.2337012821,-1.2048173598
3.0666840858,-0.5938536773
2.7426499082,-0.6987941987
3.0960417084,-0.5362950499
2.4813193537,-1.0706555486
2.8495291986,-0.7613678455
2.9132938308,-0.6782999797
2.2213717062,-1.2156268986
3.0528367052,-0.6046725857
3.0651412201,-0.8544981816
2.1965751769,-1.2359952290
3.0262368623,-0.6247092590
3.0410178350,-0.8072754022
2.1602419917,-1.2815241361
2.9786365413,-0.6642151215
2.5872949330,-1.1162697937
3.0380350751,-0.8241602616
2.2082082407,-1.2267196318
3.0383629205,-0.6159947672
2.0785427191,-1.1796081522
2.9716963144,-0.6633831140
2.5357462454,-1.1417479967
3.0432288201,-0.8172827903
2.1673622684,-1.2636583960
2.9933520228,-0.6497176493
3.0684231493,-0.7782235261
2.6237905967,-1.0996761390
2.6097882596,-1.0814417175
2.6479341323,-0.9264644235
2.3224445345,-1.0076393348
3.0341308725,-0.8214657412
2.1989048185,-1.2365799346
3.0204215198,-0.6243073663
3.0516268210,-0.8543148821
2.2588242605,-1.1839151996
3.0945535706,-0.5719921886
2.0436344401,-1.2004641035
2.9398351994,-0.6871849226
2.1629591788,-1.2778924300
2.9754694979,-0.6601465460
2.7127762140,-1.0593001484
2.3529297997,-0.9894238480
3.0422693772,-0.8478414158
2.2728894234,-1.1713122594
3.1111895377,-0.5579730321
2.4685529419,-1.0834513914
3.1164955216,-0.8459697866
2.4186956667,-1.1921752115
3.0959813581,-0.7641109776
2.3257548318,-1.0063357278
3.0346296231,-0.8241020285
2.2111260790,-1.2272570739
3.0328388350,-0.6158285372
2.4668692722,-1.1319143813
3.0521731566,-0.8506119016
2.2291424180,-1.2058998124
3.0640831199,-0.5936178251
2.1424334058,-1.1337648981
3.0433704905,-0.6113737512
3.1216813319,-0.8479620566
2.4618148160,-1.1735303168
3.0312133870,-0.8354478873
2.2664865566,-1.1801391784
3.0950373337,-0.5668841012
3.0440679592,-0.8499019053
2.2689463041,-1.1794186167
3.0965447399,-0.5668507360
3.0461772615,-0.8531179824
2.2739700920,-1.1701771906
3.1126274463,-0.5566272807
2.6268274517,-0.9388768895
2.9909206855,-0.5104441972
